name	document_code	anchor	occurrence
moron	merveilles17_imp_pie-guignard1668	name790	MORON
iphitas	merveilles17_imp_pie-guignard1668	name791	LE PRINCE
aglante	merveilles17_imp_pie-guignard1668	name792	deux Princesses
cinthie	merveilles17_imp_pie-guignard1668	name793	deux Princesses
aristomene	merveilles17_imp_pie-guignard1668	name794	ARISTOMENE
aglante	merveilles17_imp_pie-guignard1668	name795	Princesses
cinthie	merveilles17_imp_pie-guignard1668	name796	Princesses
philis	merveilles17_imp_pie-guignard1668	name797	PHILIS
aristomene	merveilles17_imp_pie-guignard1668	name798	ARISTOMENE
theocle	merveilles17_imp_pie-guignard1668	name799	THEOCLE
iphitas	merveilles17_imp_pie-guignard1668	name800	LE PRINCE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name801	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name802	AGLANTE
cinthie	merveilles17_imp_pie-guignard1668	name803	CINTHIE
moron	merveilles17_imp_pie-guignard1668	name804	MORON
philis	merveilles17_imp_pie-guignard1668	name805	PHILIS
venus	merveilles17_imp_pie-guignard1668	name806	Venus
princesse_d_elide	merveilles17_imp_pie-guignard1668	name807	la Princesse
